id	common	scientific	dir
467	Pacific-slope Flycatcher	Empidonax difficilis	pacific_slope_flycatcher
468	Yellow-bellied Flycatcher	Empidonax flaviventris	yellow_bellied_flycatcher
469	Hammond's Flycatcher	Empidonax hammondii	hammonds_flycatcher
470	Least Flycatcher	Empidonax minimus	least_flycatcher
471	Dusky Flycatcher	Empidonax oberholseri	dusky_flycatcher
472	Cordilleran Flycatcher	Empidonax occidentalis	cordilleran_flycatcher
473	Willow Flycatcher	Empidonax traillii	willow_flycatcher
474	Acadian Flycatcher	Empidonax virescens	acadian_flycatcher
475	Gray Flycatcher	Empidonax wrightii	gray_flycatcher
476	Vermilion Flycatcher	Pyrocephalus rubinus	vermilion_flycatcher
477	Black Phoebe	Sayornis nigricans	black_phoebe
478	Eastern Phoebe	Sayornis phoebe	eastern_phoebe
479	Say's Phoebe	Sayornis saya	says_phoebe
480	Ash-throated Flycatcher	Myiarchus cinerascens	ash_throated_flycatcher
481	Great Crested Flycatcher	Myiarchus crinitus	great_crested_flycatcher
482	Brown-crested Flycatcher	Myiarchus tyrannulus	brown_crested_flycatcher
483	Great Kiskadee	Pitangus sulphuratus	great_kiskadee
484	Couch's Kingbird	Tyrannus couchii	couchs_kingbird
485	Gray Kingbird	Tyrannus dominicensis	gray_kingbird
486	Scissor-tailed Flycatcher	Tyrannus forficatus	scissor_tailed_flycatcher
487	Tropical Kingbird	Tyrannus melancholicus	tropical_kingbird
488	Eastern Kingbird	Tyrannus tyrannus	eastern_kingbird
489	Western Kingbird	Tyrannus verticalis	western_kingbird
490	Cassin's Kingbird	Tyrannus vociferans	cassins_kingbird
491	Bell's Vireo	Vireo bellii	bells_vireo
492	Cassin's Vireo	Vireo cassinii	cassins_vireo
493	Yellow-throated Vireo	Vireo flavifrons	yellow_throated_vireo
494	Warbling Vireo	Vireo gilvus	warbling_vireo
495	White-eyed Vireo	Vireo griseus	white_eyed_vireo
496	Hutton's Vireo	Vireo huttoni	huttons_vireo
497	Red-eyed Vireo	Vireo olivaceus	red_eyed_vireo
498	Philadelphia Vireo	Vireo philadelphicus	philadelphia_vireo
499	Plumbeous Vireo	Vireo plumbeus	plumbeous_vireo
500	Blue-headed Vireo	Vireo solitarius	blue_headed_vireo
